Time | Swap | PID | Size | Dur. | Memory Map
 21  | in   | P30 | 03   | 5    | P29 P29 P29 P30 P30 P30 . . . . . . . . . . . . . . . . . . . . . . P27 P27 P27 P27 P27 P28 P28 P28 P28 P28 . . 
 22  | out  | P29 |      |      | . . . P30 P30 P30 . . . . . . . . . . . . . . . . . . . . . . P27 P27 P27 P27 P27 P28 P28 P28 P28 P28 . . 
 22  | out  | P27 |      |      | . . . P30 P30 P30 . . . . . . . . . . . . . . . . . . . . . . . . . . . P28 P28 P28 P28 P28 . . 
 22  | out  | P28 |      |      | . . . P30 P30 P30 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 22  | in   | P31 | 03   | 4    | . . . P30 P30 P30 P31 P31 P31 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 23  | in   | P32 | 02   | 4    | . . . P30 P30 P30 P31 P31 P31 P32 P32 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 24  | in   | P33 | 03   | 3    | . . . P30 P30 P30 P31 P31 P31 P32 P32 P33 P33 P33 . . . . . . . . . . . . . . . . . . . . . . . . . . 
 25  | in   | P34 | 02   | 3    | . . . P30 P30 P30 P31 P31 P31 P32 P32 P33 P33 P33 P34 P34 . . . . . . . . . . . . . . . . . . . . . . . . 
 26  | out  | P30 |      |      | . . . . . . P31 P31 P31 P32 P32 P33 P33 P33 P34 P34 . . . . . . . . . . . . . . . . . . . . . . . . 
 26  | out  | P31 |      |      | . . . . . . . . . P32 P32 P33 P33 P33 P34 P34 . . . . . . . . . . . . . . . . . . . . . . . . 
 26  | in   | P35 | 05   | 1    | . . . . . . . . . P32 P32 P33 P33 P33 P34 P34 P35 P35 P35 P35 P35 . . . . . . . . . . . . . . . . . . . 
 27  | out  | P32 |      |      | . . . . . . . . . . . P33 P33 P33 P34 P34 P35 P35 P35 P35 P35 . . . . . . . . . . . . . . . . . . . 
 27  | out  | P33 |      |      | . . . . . . . . . . . . . . P34 P34 P35 P35 P35 P35 P35 . . . . . . . . . . . . . . . . . . . 
 27  | out  | P35 |      |      | . . . . . . . . . . . . . . P34 P34 . . . . . . . . . . . . . . . . . . . . . . . . 
 27  | in   | P36 | 05   | 3    | . . . . . . . . . . . . . . P34 P34 . . . . . P36 P36 P36 P36 P36 . . . . . . . . . . . . . . 
 28  | out  | P34 |      |      | . . . . . . . . . . . . . . . . . . . . . P36 P36 P36 P36 P36 . . . . . . . . . . . . . . 
 28  | in   | P37 | 04   | 1    | . . . . . . . . . . . . . . . . . . . . . P36 P36 P36 P36 P36 P37 P37 P37 P37 . . . . . . . . . . 
 29  | out  | P37 |      |      | . . . . . . . . . . . . . . . . . . . . . P36 P36 P36 P36 P36 . . . . . . . . . . . . . . 
 29  | in   | P38 | 05   | 3    | . . . . . . . . . . . . . . . . . . . . . P36 P36 P36 P36 P36 . . . . P38 P38 P38 P38 P38 . . . . . 
 30  | out  | P36 |      |      | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . P38 P38 P38 P38 P38 . . . . . 
 30  | in   | P39 | 05   | 5    | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . P38 P38 P38 P38 P38 P39 P39 P39 P39 P39 
 32  | out  | P38 |      |      | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . P39 P39 P39 P39 P39 
 35  | out  | P39 |      |      | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 


# of processes swapped in: 30
