Time | Swap | PID | Size | Dur. | Memory Map
 48  | in   | P57 | 02   | 2    | P56 P56 P57 P57 P55 P55 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 49  | in   | P58 | 02   | 1    | P56 P56 P57 P57 P55 P55 P58 P58 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 50  | out  | P57 |      |      | P56 P56 . . P55 P55 P58 P58 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 50  | out  | P55 |      |      | P56 P56 . . . . P58 P58 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 50  | out  | P58 |      |      | P56 P56 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 50  | in   | P59 | 02   | 2    | P56 P56 P59 P59 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 51  | in   | P60 | 04   | 4    | P56 P56 P59 P59 P60 P60 P60 P60 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 52  | out  | P56 |      |      | . . P59 P59 P60 P60 P60 P60 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 52  | out  | P59 |      |      | . . . . P60 P60 P60 P60 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 52  | in   | P61 | 02   | 2    | P61 P61 . . P60 P60 P60 P60 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 53  | in   | P62 | 03   | 5    | P61 P61 . . P60 P60 P60 P60 P62 P62 P62 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 54  | out  | P61 |      |      | . . . . P60 P60 P60 P60 P62 P62 P62 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 54  | in   | P63 | 04   | 1    | P63 P63 P63 P63 P60 P60 P60 P60 P62 P62 P62 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 55  | out  | P63 |      |      | . . . . P60 P60 P60 P60 P62 P62 P62 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 55  | out  | P60 |      |      | . . . . . . . . P62 P62 P62 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
